diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
astigmatisme,Q177895, , , , ,Astigmatisme,Q2423400, , , , , , ,"367.2,367.20","H52.2,H52.20",C0004106,D001251, ,https://fr.wikipedia.org/wiki/Astigmatisme_(m%C3%A9decine),défaut de l’œil, 
psoriasis,Q179945, , ,"anti-inflammatoire non stéroïdien,aprémilast,calcipotriol,désonide,désoximétasone,fumarate d'éthyle,méthotrexate,tacalcitol,tazarotène","Q155682,Q155683,Q188724,Q27294232,Q2858961,Q385370,Q3981685,Q422232,Q904011", , ,"Xérose,fumer,obésité,stress","Q12174,Q123414,Q2723497,Q662860", , , , , ,"L40,L40.9",C0033860,D011565,C3346,https://fr.wikipedia.org/wiki/Psoriasis,"maladie inflammatoire systémique et chronique à médiation immunitaire, affectant principalement la peau", 
gastrite,Q183130, , ,"dexlansoprazole,lansoprazole,oméprazole,pantoprazole,ranitidine,sucralfate,ésoméprazole","Q254296,Q286846,Q420394,Q422210,Q423037,Q5268339,Q553223", , , , , , , , ,"535.0,535.00,535.01,535.4,535.40,535.41",K29.7,C0017152,D005756,C26780,https://fr.wikipedia.org/wiki/Gastrite,inflammation de la paroi de l'estomac, 
sepsis,Q183134,"fièvre intermittente,fièvre rémittente,frissonnement","Q2260058,Q24869904,Q3073147","Q1638852,Q412888,amikacine,aztréonam,ceftazidime,ceftizoxime,ceftriaxone,céfotaxime,céfotétan,céfoxitine,céfépime,ertapénem,gentamicine,imipénème,mezlocilline,oxacilline,pipéracilline,ticarcilline","Q1082945,Q1638852,Q2353907,Q2552927,Q2601832,Q2602246,Q3307752,Q408529,Q412888,Q417968,Q418546,Q418725,Q421713,Q422482,Q423787,Q425152,Q553220,Q808845", , ,infection,Q166231, , , , , , ,C0036690,D018805, ,https://fr.wikipedia.org/wiki/Sepsis,syndrome d'infection générale et grave de l'organisme par des germes pathogènes,"Infection du sang,septicémie"
emphysème pulmonaire,Q188605, , ,"Q4673059,Q5104342,acétylcystéine,aminophylline,diprophylline,théophylline","Q1073333,Q375613,Q407308,Q4673059,Q471763,Q5104342", , , , ,fumer,Q662860, , ,492.8,J43.8,"C0029607,C0034067",D011656, ,https://fr.wikipedia.org/wiki/Emphys%C3%A8me_pulmonaire,Destruction de la paroi des alvéoles pulmonaires, 
hypomanie,Q188611, , , , , , , , , , , , , , , , ,C78349,https://fr.wikipedia.org/wiki/Hypomanie, , 
trouble du rythme cardiaque,Q189331, , ,"(RS)-propafenone,Q757058,Q7700570,amiodarone,digoxine,dofetilide,dronédarone,encainide,flécaïnide,lidocaïne,moracizine,métoprolol,papavérine,rivaroxaban,sotalol,étexilate de Dabigatran","Q20078502,Q216935,Q3712521,Q408637,Q409468,Q410061,Q410374,Q413591,Q420262,Q421381,Q422222,Q514534,Q662511,Q757058,Q7700570,Q904071", , , , , , , , ,427.9, ,"C0003811,C0237314,C0340464",D001145,C2881,https://fr.wikipedia.org/wiki/Trouble_du_rythme_cardiaque,pathologie cardiaque,troubles du rythme cardiaque
anévrisme,Q189389, , , , ,Q2483519,Q2483519, , , , , , , , , ,D000783,C26693,https://fr.wikipedia.org/wiki/An%C3%A9vrisme,renflement dans la paroi d'un vaisseau sanguin,"anevrisme,anévrysme,rupture d'anévrisme,rupture d’anévrisme,ruptures d'anévrisme"
fistule,Q189470, , , , ,Vistule,Q548, , , , , , , , , ,D005402,C3045,https://fr.wikipedia.org/wiki/Fistule, ,Fistulisation
cardiopathie,Q190805,"angine de poitrine,ascite,douleur thoracique,dyspnée,hypertension artérielle,syncope,tachycardie,trouble de l'équilibre,trouble du rythme cardiaque,œdème","Q152234,Q180007,Q180762,Q188008,Q189331,Q193889,Q209583,Q3540864,Q41861,Q693058","(RS)-dobutamine,Q48566700,Q48566757,Q48566808,Q7700570,Sacubitril/valsartan,Warfarine,acide acétylsalicylique,amiodarone,apixaban,aprindine,atorvastatine,carvedilol,clopidogrel,dofetilide,furosémide,métoprolol,palivizumab,préparation parmaceutique à base de nitroglycérine,rivaroxaban,rosuvastatine,sildénafil,ticagrelor,valsartan,étexilate de Dabigatran,évolocumab","Q155472,Q15623825,Q18216,Q191521,Q20078502,Q263612,Q3221044,Q3712521,Q388801,Q407431,Q409468,Q410061,Q410237,Q412534,Q412765,Q414462,Q415159,Q420262,Q420542,Q422782,Q48566700,Q48566757,Q48566808,Q6457467,Q668093,Q7700570", , ,fumer,Q662860, , , , ,"429.89,429.9,V47.2",I51.9,C0018799,D006331,C3079, , , 
