
name,code
ablepharia,s00000337n
acanthosis nigricans,s00000602n
auditory aphasia,s00000970n
herpes simplex encephalitis,s00001214n
Addison's disease,s00001292n
air embolism,s00001680n
amebic dysentery,s00003311n
animal disease,s00004226n
cardiac arrhythmia,s00005883n
conduction aphasia,s00006551n
motor aphasia,s00006706n
ateleiosis,s00006710n
tinea pedis,s00006748n
atypical pneumonia,s00007074n
autoimmune disease,s00007349n
birth defect,s00010673n
hairy tongue,s00010995n
epidemic pleurodynia,s00012249n
Marseilles fever,s00012453n
cerebral edema,s00012695n
brain tumor,s00012702n
breast cancer,s00012953n
cardiogenic shock,s00015975n
cat scratch disease,s00016626n
catastrophic illness,s00016690n
cauliflower ear,s00016842n
cerebral hemorrhage,s00017334n
Charcot-Marie-Tooth disease,s00017784n
chronic obstructive pulmonary disease,s00018907n
elephantiasis scroti,s00019040n
histamine headache,s00020075n
communicable disease,s00021219n
conductive hearing loss,s00021677n
genetic disease,s00021810n
Siamese twin,s00021872n
contagious disease,s00022126n
coronary occlusion,s00022798n
Cushing's disease,s00024562n
Cushing's syndrome,s00024563n
fibrocystic breast disease,s00024883n
deficiency disease,s00025915n
delirium tremens,s00026058n
disease of the neuromuscular junction,s00027547n
skin disease,s00027548n
distal muscular dystrophy,s00027746n
mental disorder,s00027818n
Hurler's syndrome,s00029323n
embryonal rhabdomyosarcoma,s00030511n
erythema nodosum,s00031510n
exanthema subitum,s00032104n
eye disease,s00032529n
flea bite,s00035153n
musca volitans,s00035268n
Wernicke's aphasia,s00035422n
focal seizure,s00035559n
food poisoning,s00035664n
frontal sinus,s00036651n
functional disorder,s00036830n
infectious mononucleosis,s00040595n
habitual abortion,s00042412n
Hand-Schuller-Christian disease,s00042773n
heat exhaustion,s00043426n
herniated disc,s00043849n
herpes simplex,s00043874n
high blood pressure,s00044056n
idiopathic disease,s00045843n
thrombocytopenic purpura,s00045844n
occupational disease,s00046564n
infectious disease,s00046630n
inferiority complex,s00046653n
inflammatory disease,s00046673n
inguinal hernia,s00046756n
pneumocytosis,s00047225n
irritable bowel syndrome,s00047565n
jet lag,s00048170n
Kawasaki disease,s00048856n
keratosis pilaris,s00048952n
lactose intolerance,s00049637n
tennis elbow,s00050136n
liver disease,s00051627n
Lyme disease,s00052428n
macular degeneration,s00052626n
Meniere's disease,s00054331n
mercury poisoning,s00054432n
metabolic disorder,s00054538n
microcytic anemia,s00054743n
sweating sickness,s00054942n
milk sickness,s00055011n
spontaneous abortion,s00055276n
Montezuma's revenge,s00055791n
myeloblastic leukemia,s00056591n
nephrogenic diabetes insipidus,s00057295n
nervous disorder,s00057339n
neurogenic bladder,s00057411n
opportunistic infection,s00059189n
organic brain syndrome,s00059473n
sandfly fever,s00060510n
paralysis agitans,s00060578n
paranoid schizophrenia,s00060599n
periarteritis nodosa,s00061578n
periodontal disease,s00061618n
pigeon toes,s00062352n
pycnosis,s00065387n
17β-Hydroxysteroid_dehydrogenase_III_deficiency,s00152952n
caséum,s00300430n
Déficit_en_3-hydroxyacyl-coenzyme_A_déshydrogénase_des_acides_gras_à_chaîne_longue,s00779518n
Bardet–Biedl_syndrome,s00967717n
Subvalvular_aortic_stenosis_(non-human),s01153386n
Brown–Vialetto–Van_Laere_syndrome,s01202784n
Mixed_anxiety–depressive_disorder,s01315454n
Crimean–Congo_hemorrhagic_fever,s01660311n
Reis–Bucklers_corneal_dystrophy,s01660584n
Potocki–Lupski_syndrome,s01747696n
Bart–Pumphrey_syndrome,s01912407n
Hughes–Stovin_syndrome,s01932713n
