diseaseLabel,disease,symptomsLabel,symptoms,treatmentLabel,treatment,differentFromLabel,differentFrom,riskLabel,risk,causeLabel,cause,diagnosisLabel,diagnosis,icd9,icd10,umls,mesh,nci,link,description,alsoKnownAs
Q424317,Q424317, , , , , , , , , , , , , , , ,D000006, , , , 
Q441094,Q441094, , , , , , , , , , , , , , , , , , , , 
Q447828,Q447828, , , , , , , , , , , , , , ,C0311227, , , , , 
Q448747,Q448747, , , , , , , , , , , , , , , , , , , , 
Deskonpresio-sindrome,Q460591,"Amnesia,Arnasestu,Azkura,Buru-nahasmendu,Q12829165,Q2266426,Q3232712,Q3954319,Q7933601,Zorabio,artralgia,bertigo,buruko min,goragale,gortasun,hiperestesia,inurridura,konbultsio,min,neke,oka,paralisi,parestesia","Q10686316,Q107231,Q10916362,Q11072,Q12133,Q127076,Q12829165,Q1638131,Q186889,Q188008,Q199602,Q2266426,Q3232712,Q3954319,Q5470185,Q557945,Q683498,Q769220,Q7933601,Q81938,Q852376,Q86,Q9690", , ,Q1367304,Q1367304, , ,Deskonpresio,Q1183684, , , , , ,D003665, ,https://eu.wikipedia.org/wiki/Deskonpresio-sindrome, , 
Q462833,Q462833,"Amnesia,Eldarnio,Haluzinazio,Q1895873,Q58184039","Q11072,Q130741,Q1895873,Q189643,Q58184039", , , , , , , , , , , , , , , , , , 
Q465016,Q465016, , , , , , , , , , , , , , , , , , , , 
Q471778,Q471778, , , , , , , , , , , , ,270.0,E72.0,C0268641,D020157, , , , 
Kretinismo,Q472664, , , , , , , , , , , , , , , , , ,https://eu.wikipedia.org/wiki/Kretinismo, , 
Q476814,Q476814, , , , , , , , , , , , , , ,"C0032914,C1321782", , , , , 
Zifosi,Q478389, , , , , , , , , , , , , , ,"C0022821,C1845112",D007738,C34754,https://eu.wikipedia.org/wiki/Zifosi,Bizkarrezurraren desbideratze ganbila, 
